"CustomerID","Age","UsageFrequency","SupportTickets","SubscriptionTier","SatisfactionScore","DataUsage_GB","ContractDuration_Months","Churn"
"CZA0001",36,14,1,"Standard",7,4.15914411706739,6,0
"CZA0002",67,15,2,"Premium",8,5.95910282428492,6,0
"CZA0003",43,6,1,"Basic",6,3.9295754577274,6,0
"CZA0004",73,10,3,"Basic",4,11.4609788277237,12,0
"CZA0005",76,28,3,"Standard",7,16.1876486090307,12,0
"CZA0006",21,15,2,"Standard",10,32.7547990343326,24,0
"CZA0007",51,20,3,"Standard",8,9.54750694995878,12,0
"CZA0008",73,12,1,"Basic",7,4.00543839304543,6,0
"CZA0009",52,16,0,"Basic",5,15.1368535701359,6,0
"CZA0010",46,15,2,"Standard",9,13.9200636240172,6,0
"CZA0011",77,22,2,"Standard",10,6.25402910513538,1,0
"CZA0012",46,14,1,"Premium",9,2.48308457431572,6,0
"CZA0013",60,4,1,"Basic",2,12.590177252326,12,0
"CZA0014",54,21,2,"Premium",7,16.287551053219,24,0
"CZA0015",24,16,0,"Premium",7,6.00999861745213,1,0
"CZA0016",74,24,3,"Premium",10,10.7549915049614,6,0
"CZA0017",33,16,2,"Standard",6,6.09139224757083,24,0
"CZA0018",21,22,2,"Standard",7,11.9128860024161,6,0
"CZA0019",38,19,2,"Premium",8,6.80662566091986,12,0
"CZA0020",77,11,1,"Basic",5,5.80504226116975,6,0
"CZA0021",73,21,2,"Premium",10,7.98954928850198,1,0
"CZA0022",61,15,3,"Premium",4,6.05943329185274,12,0
"CZA0023",58,21,2,"Basic",9,4.88557988092181,1,0
"CZA0024",80,16,1,"Standard",4,5.92300634256202,6,0
"CZA0025",59,3,3,"Basic",4,7.34701048222207,6,0
"CZA0026",62,13,1,"Standard",9,8.54414795162082,6,0
"CZA0027",52,7,2,"Standard",7,21.6000695617881,24,0
"CZA0028",55,6,2,"Premium",3,2.85594137793216,12,0
"CZA0029",36,13,1,"Basic",4,6.42544998312523,12,0
"CZA0030",27,16,2,"Basic",7,11.4967707253753,24,0
"CZA0031",78,11,1,"Standard",5,25.3661252516503,12,0
"CZA0032",74,6,2,"Basic",6,9.95634517378812,12,0
"CZA0033",61,10,2,"Basic",5,7.31826010002835,12,0
"CZA0034",67,7,0,"Standard",3,5.95785289278723,6,0
"CZA0035",20,19,2,"Standard",7,9.87509286581175,6,0
"CZA0036",48,20,2,"Premium",6,14.766196440795,24,0
"CZA0037",65,5,1,"Basic",7,6.49673135927783,24,0
"CZA0038",31,12,2,"Standard",6,8.28654392031591,1,0
"CZA0039",38,18,2,"Basic",8,8.60080188109999,1,0
"CZA0040",32,16,2,"Premium",9,12.3110144319633,24,0
"CZA0041",27,17,3,"Premium",10,16.0862727635325,12,0
"CZA0042",44,17,3,"Standard",7,8.98370671691088,6,0
"CZA0043",44,20,2,"Premium",9,7.00539474376849,12,0
"CZA0044",41,23,2,"Premium",10,19.6144039657851,24,0
"CZA0045",27,19,1,"Standard",8,8.29102730388182,1,0
"CZA0046",27,10,0,"Premium",4,22.2979865500747,1,0
"CZA0047",32,15,1,"Premium",8,7.07561340175877,1,0
"CZA0048",47,15,0,"Basic",5,11.3559981413052,6,0
"CZA0049",34,14,4,"Standard",6,2.50362074982245,6,0
"CZA0050",71,6,6,"Premium",5,6.83000651227913,12,0
"CZA0051",21,11,3,"Standard",5,7.27718289268279,12,0
"CZA0052",45,20,3,"Standard",4,4.345575529414,6,0
"CZA0053",68,18,4,"Premium",7,3.57825403205381,1,0
"CZA0054",26,10,2,"Premium",8,14.3494485340788,6,0
"CZA0055",53,16,2,"Standard",6,14.011958081962,1,0
"CZA0056",31,14,1,"Standard",6,2.97691522093251,6,0
"CZA0057",26,16,2,"Basic",6,9.94495270316536,24,0
"CZA0058",65,28,1,"Premium",8,3.39131677789834,24,0
