"CustomerID","Age","SubscriptionTier","ContractDuration_Months","DataUsage_GB","UsageFrequency","SupportTickets","SatisfactionScore","Churn"
"CZA0001",54,"Premium",18,52.6,19,2,7,0
"CZA0002",31,"Standard",24,13.3,8.6,3,7,0
"CZA0003",42,"Basic",12,0.3,6.5,1,8,0
"CZA0004",46,"Premium",3,5.4,22.4,2,6,0
"CZA0005",43,"Basic",18,5.2,3.8,2,8,0
"CZA0006",37,"Basic",3,5.8,4.5,3,7,0
"CZA0007",56,"Basic",4,0.7,6.5,0,7,0
"CZA0008",37,"Basic",6,12,6.3,4,6,0
"CZA0009",62,"Standard",12,2.1,4.6,3,6,0
"CZA0010",37,"Standard",18,18.8,10.4,3,7,0
"CZA0011",54,"Standard",4,4.7,5.3,5,6,0
"CZA0012",65,"Standard",3,24.4,12.4,3,5,0
"CZA0013",21,"Basic",36,9.8,5.2,3,7,0
"CZA0014",35,"Basic",24,3.8,4.3,0,7,0
"CZA0015",36,"Standard",12,7.8,10.9,0,7,0
"CZA0016",46,"Basic",12,1,4.2,4,5,0
"CZA0017",35,"Standard",24,5,12.5,0,8,0
"CZA0018",18,"Basic",18,3,6.1,2,5,0
"CZA0019",18,"Basic",18,2,1.8,1,6,0
"CZA0020",54,"Premium",12,2.1,24.2,1,4,0
"CZA0021",34,"Standard",2,3.9,13.3,4,6,0
"CZA0022",18,"Basic",3,0.8,6.4,2,7,0
"CZA0023",36,"Standard",36,2.2,14.3,1,9,0
"CZA0024",53,"Standard",18,7.6,12.7,1,7,0
"CZA0025",61,"Basic",4,6.6,3.5,2,7,0
"CZA0026",33,"Basic",12,1.9,2.1,0,5,0
"CZA0027",35,"Standard",36,48.7,10,1,7,0
"CZA0028",18,"Standard",1,8.6,17.8,5,6,0
"CZA0029",44,"Basic",12,4.2,6,4,5,0
"CZA0030",30,"Basic",12,1.6,2,3,5,0
"CZA0031",43,"Standard",1,38.4,9.5,10,4,1
"CZA0032",46,"Standard",2,3.6,10.3,9,5,1
"CZA0033",50,"Standard",36,12.6,11.8,0,10,0
"CZA0034",31,"Standard",4,2.9,9.1,2,5,0
"CZA0035",44,"Standard",18,5.2,14.9,1,8,0
"CZA0036",18,"Standard",36,4.1,11.6,1,8,0
"CZA0037",29,"Basic",36,3.8,5,1,8,0
"CZA0038",28,"Standard",18,1.9,6.5,3,6,0
"CZA0039",18,"Standard",18,12.7,10.6,2,5,0
"CZA0040",38,"Standard",12,0.3,2.2,1,8,0
"CZA0041",40,"Premium",18,32.6,17.2,0,7,0
"CZA0042",34,"Standard",6,20.6,7.1,1,5,0
"CZA0043",47,"Basic",36,0.6,5.8,1,7,0
"CZA0044",29,"Basic",18,5.1,6.4,1,7,0
"CZA0045",22,"Premium",4,7.4,14.7,2,6,1
"CZA0046",43,"Basic",24,1.6,3.1,2,7,0
"CZA0047",28,"Premium",18,13.4,19.7,1,6,0
"CZA0048",55,"Standard",3,16.2,7.6,0,8,0
"CZA0049",33,"Standard",24,10.4,4.8,2,7,0
"CZA0050",46,"Standard",12,2.6,7.1,1,7,0
"CZA0051",42,"Basic",18,9.9,6.1,0,8,0
"CZA0052",29,"Basic",2,4.1,5.4,4,5,1
"CZA0053",57,"Standard",1,2.7,1,5,4,1
"CZA0054",46,"Basic",18,1.2,2.5,2,5,0
"CZA0055",39,"Basic",18,3.9,7,0,4,0
"CZA0056",41,"Basic",12,0.7,5.7,1,7,0
"CZA0057",46,"Standard",12,10.4,7.1,0,7,0
"CZA0058",39,"Basic",4,2.1,6.5,2,8,0
"CZA0059",18,"Standard",1,5.6,10.7,3,6,1
"CZA0060",41,"Basic",18,18.6,5.3,0,7,0
"CZA0061",34,"Basic",12,1.5,2.2,0,6,0
"CZA0062",40,"Standard",36,17,4.2,2,7,0
"CZA0063",45,"Basic",18,0.7,2.8,3,7,0
"CZA0064",55,"Basic",18,5.6,8.9,2,6,0
"CZA0065",29,"Basic",6,1.7,4.2,3,6,0
"CZA0066",54,"Basic",12,10.4,4.2,2,5,0
"CZA0067",42,"Basic",24,0.6,4.7,2,6,0
"CZA0068",50,"Standard",18,18.2,10.1,2,6,0
"CZA0069",49,"Standard",4,4.2,10.8,3,6,0
"CZA0070",47,"Basic",18,10.1,7.1,0,6,0
"CZA0071",25,"Standard",24,8.3,12.1,2,6,0
"CZA0072",37,"Basic",5,2.5,9.8,5,6,0
"CZA0073",45,"Premium",5,3.8,28,5,9,0
"CZA0074",27,"Basic",12,4.1,7.3,1,6,0
"CZA0075",31,"Basic",6,3.6,1,3,5,1
"CZA0076",45,"Basic",6,6.4,8.2,1,6,0
"CZA0077",47,"Standard",3,7.2,10.8,0,7,0
"CZA0078",44,"Premium",18,5,22.1,2,7,0
"CZA0079",27,"Standard",12,27.7,7.8,2,4,0
"CZA0080",25,"Basic",6,0.6,6.5,3,5,0
"CZA0081",56,"Standard",12,40.2,15.2,2,6,0
"CZA0082",41,"Standard",2,16.4,10.6,7,5,1
"CZA0083",39,"Standard",1,0.4,8.6,5,6,0
"CZA0084",37,"Basic",3,2.5,6.2,4,4,1
"CZA0085",24,"Standard",18,7.2,11.3,2,6,0
"CZA0086",45,"Standard",12,1.1,9.9,0,4,0
"CZA0087",35,"Standard",18,4,4.1,1,7,0
"CZA0088",36,"Standard",18,6.6,11.3,1,7,0
"CZA0089",49,"Basic",12,3.7,5,8,6,0
"CZA0090",48,"Standard",36,13,11,2,8,0
"CZA0091",55,"Basic",18,0.5,6.1,2,6,0
"CZA0092",32,"Basic",36,0.7,5.4,2,7,0
"CZA0093",46,"Standard",18,12.7,12.2,3,7,0
"CZA0094",55,"Standard",18,3.8,10.4,3,4,0
"CZA0095",25,"Standard",36,20.9,12,1,7,0
"CZA0096",28,"Basic",24,0.6,1,1,5,0
"CZA0097",24,"Standard",12,17.5,12.6,2,7,0
"CZA0098",20,"Standard",12,5.4,9.8,1,5,0
"CZA0099",39,"Basic",12,0.9,7.4,3,6,0
"CZA0100",46,"Basic",4,0.1,1,5,6,1
"CZA0101",52,"Basic",1,0.3,9.4,3,7,0
"CZA0102",51,"Standard",18,21.3,10.1,6,4,0
"CZA0103",26,"Basic",1,10.5,8.2,5,7,1
"CZA0104",60,"Basic",12,9.9,5.9,1,6,0
"CZA0105",30,"Basic",12,2.6,6.7,0,6,0
"CZA0106",39,"Standard",5,13.3,13.5,4,6,1
"CZA0107",33,"Basic",12,0.6,3.1,2,8,0
"CZA0108",37,"Basic",4,1.1,6.3,4,4,1
"CZA0109",40,"Basic",12,3.8,5.4,2,6,0
"CZA0110",39,"Basic",18,3.2,3.3,3,6,0
"CZA0111",38,"Basic",18,5.8,1,0,9,0
"CZA0112",39,"Premium",18,183.5,20.8,1,7,0
"CZA0113",32,"Basic",4,3.8,6.1,2,5,0
"CZA0114",32,"Premium",36,2.8,19.2,3,8,0
"CZA0115",18,"Premium",5,11.6,15.4,2,5,0
"CZA0116",33,"Basic",36,3.1,4.7,3,8,0
"CZA0117",32,"Standard",18,5,10,0,4,0
"CZA0118",70,"Standard",5,9.9,11.3,8,4,1
"CZA0119",22,"Premium",4,43.6,25.4,4,6,0
"CZA0120",40,"Basic",18,2.4,5.9,2,5,0
"CZA0121",20,"Standard",1,5.7,12,5,7,1
"CZA0122",20,"Standard",12,13.2,12.4,2,5,0
"CZA0123",39,"Basic",18,10.5,4.2,3,7,0
"CZA0124",26,"Premium",5,42.4,16.6,1,6,0
"CZA0125",38,"Basic",18,1,6.6,1,6,0
"CZA0126",33,"Premium",12,13.5,20.9,2,7,0
"CZA0127",31,"Standard",24,2.5,8.6,2,5,0
"CZA0128",18,"Standard",12,16.7,11.4,3,7,0
"CZA0129",23,"Standard",4,7.8,13.8,1,5,0
"CZA0130",40,"Basic",36,4,5.5,2,6,0
"CZA0131",45,"Standard",36,14.7,10.4,2,7,0
"CZA0132",32,"Standard",24,24.9,12.5,0,7,0
"CZA0133",38,"Basic",12,0.4,7.5,1,6,0
"CZA0134",51,"Basic",18,5,4.1,2,5,0
"CZA0135",55,"Standard",36,44.4,13.7,0,7,0
"CZA0136",25,"Basic",18,0,6.6,0,6,0
"CZA0137",37,"Basic",18,2.6,6.3,2,9,0
"CZA0138",52,"Premium",2,3.6,24.3,5,6,0
"CZA0139",32,"Standard",24,2.4,10,2,8,0
"CZA0140",37,"Standard",1,12.2,8.2,6,6,1
